ID;BT1;BT2;BT3;BT4;BT5;SB BT;RV1;RV2;RV3;RV4;RV5;SB RV;FECHA
1671;15;28;36;37;41;10;3;9;10;21;40;10;22/04/2017
1672;1;2;25;31;33;14;9;12;16;28;38;1;26/04/2017
1673;6;19;25;28;36;1;8;21;22;37;38;4;29/04/2017
1674;5;6;7;12;37;6;5;12;15;20;42;14;03/05/2017
1675;1;20;36;39;43;10;3;5;8;20;24;14;06/05/2017
1676;12;19;22;35;38;1;3;4;29;40;43;4;10/05/2017
1677;11;19;27;28;37;8;14;22;24;25;32;7;13/05/2017
1678;15;21;26;28;36;3;1;20;25;27;34;3;17/05/2017
1679;1;11;28;31;41;9;4;13;20;31;33;8;20/05/2017
1680;7;22;29;32;41;14;11;28;31;33;41;7;24/05/2017
1681;8;12;20;36;40;1;17;28;29;37;40;14;27/05/2017
1682;12;13;25;31;42;16;5;20;21;25;26;3;31/05/2017
1683;3;26;33;34;38;16;8;10;19;22;30;3;03/06/2017
1684;3;20;33;34;40;14;3;13;16;20;26;1;07/06/2017
1685;13;20;26;29;40;7;22;25;26;40;43;14;10/06/2017
1686;2;9;12;34;40;7;5;13;17;22;40;13;14/06/2017
1687;9;20;24;31;33;16;10;19;32;38;40;14;17/06/2017
1688;4;6;14;17;29;5;12;21;25;27;34;10;21/06/2017
1689;3;4;9;20;32;11;1;3;7;16;32;4;24/06/2017
1690;18;22;32;37;39;2;4;7;8;24;41;13;28/06/2017
1691;10;16;18;35;40;6;4;17;21;35;40;1;01/07/2017
1692;20;22;25;37;43;8;16;25;31;32;34;5;05/07/2017
1693;1;7;12;19;21;8;13;15;16;31;37;14;08/07/2017
1694;7;23;30;33;36;4;1;11;19;20;37;5;12/07/2017
1695;7;23;24;34;39;4;26;29;30;35;36;6;15/07/2017
1696;14;15;20;25;40;12;9;10;27;35;42;12;19/07/2017
1697;6;9;15;37;42;16;4;29;30;31;42;16;22/07/2017
1698;1;27;31;34;36;11;17;18;31;34;39;14;26/07/2017
1699;3;13;14;17;23;2;11;14;23;30;35;12;29/07/2017
1700;1;22;31;32;37;16;4;17;33;34;35;14;02/08/2017
1701;14;25;28;37;41;13;2;6;8;12;29;13;05/08/2017
1702;4;5;9;13;40;15;3;12;14;23;21;10;09/08/2017
1703;15;16;18;19;37;11;10;12;27;34;40;10;12/08/2017
1704;6;14;32;34;42;10;4;6;20;29;38;12;16/08/2017
1705;1;5;6;13;26;6;2;6;14;20;27;1;19/08/2017
1706;13;15;18;26;43;3;16;22;24;41;43;9;23/08/2017
1707;1;6;12;18;36;9;10;12;15;41;43;6;26/08/2017
1708;4;24;28;36;39;5;13;17;30;34;43;14;30/08/2017
